9-Digit NDC,Strength per Unit,MME conversion factor
005740293,8,4
005740294,12,4
005740295,16,4
005740297,32,4
005741103,1,1
005741105,1,1
005747040,60,1
005747045,30,1
005747224,3,4
005800682,5,1.5
005801717,30,0.15
005804392,2,4
005850548,2,1
005900127,5,1.5
005910349,5,1
005910385,7.5,1
005910387,7.5,1
005910388,2.5,1
005910395,50,0.37
005910466,50,0.1
005910503,10,1
005910517,10,1
005910540,10,1
005910726,50,0.1
005910749,5,1.5
005910820,4.88,1.5
005910824,7.5,1.5
005910825,10,1.5
005910853,10,1
005910932,10,1.5
005910933,7.5,1.5
005912171,2.5,1
005912172,5,1
005912174,5,1
005912175,7.5,1
005912176,10,1
005912605,7.5,1
005912607,10,1
005912609,10,1
005912610,10,1
005912611,7.5,1
005912612,10,1
005912641,30,0.15
005912693,40,1.5
005912708,80,1.5
005913198,25,7.2
005913202,5,1
005913203,7.5,1
005913212,50,7.2
005913213,75,7.2
005913214,100,7.2
005913220,30,0.15
005913228,10,1
005913501,10,1.5
005913502,20,1.5
005913503,40,1.5
005913546,30,0.15
005913551,4.8355,1.5
005913601,50,7.2
005913602,75,7.2
005913629,8,4
005913630,16,4
005913631,32,4
005913739,12,4
006031020,2.4,0.15
006031075,2,0.15
006031078,2,0.15
006031295,0.5,1
006031296,1,1
006031329,2,0.15
006031494,0.4,1
006031520,2,0.15
006031521,2,0.15
006031581,2,0.15
006031585,2,0.15
006031588,2,0.15
006032337,15,0.15
006032338,30,0.15
006032339,60,0.15
006032552,30,0.15
006032553,30,0.15
006033584,5,1
006033586,10,1
006033609,10,1
006033880,2.5,1
006033881,5,1
006033882,7.5,1
006033883,7.5,1
006033884,7.5,1
006033885,10,1
006033886,10,1
006033887,10,1
006033888,10,1
006033890,5,1
006033891,7.5,1
006033897,7.5,1
006034415,50,0.1
006034416,100,0.1
006034978,2.5,1.5
006034979,7.5,1.5
006034982,10,1.5
006034990,5,1.5
006034991,15,1.5
006034992,30,1.5
006034993,10,1.5
006034994,20,1.5
006034996,5,1.5
006034997,5,1.5
006034998,5,1.5
006039013,2.4,0.15
006150448,30,0.15
006157792,30,0.15
006158005,50,0.1
006158102,30,0.15
006410121,2,4
006411117,50,0
006411118,50,0
006411119,50,0
006411130,50,0.1
006411141,50,0
006411142,50,0
006411143,50,0
006412341,2,4
006412402,50,0
006412403,50,0
006415141,50,0
006415142,50,0
006415143,50,0
006416024,50,0
006416025,50,0
006416026,50,0
006416027,50,0
006416028,50,0
006416029,50,0
006416030,50,0
006416052,25,0.1
006416053,50,0.1
006416054,100,0.1
006416110,50,0
006416111,50,0
006416112,50,0
006416151,2,4
006416247,50,0
006770844,30,0.15
006771184,5,1
006820475,1.5,0.15
006820480,1.5,0.15
006890082,5,1
007030018,10,4
007030110,10,4
007030113,10,4
007130703,0.5,1
007130704,0.5,1
007190390,30,0.15
007190670,,0.15
007793228,0.4,1
007811262,2.5,0
007812210,30,0.15
007812221,30,0.15
007815703,10,1.5
007815726,20,1.5
007815767,40,1.5
007815785,80,1.5
007817111,25,7.2
007817112,50,7.2
007817113,75,7.2
007817114,100,7.2
007817240,12,7.2
007817241,25,7.2
007817242,50,7.2
007817243,75,7.2
007817244,100,7.2
007856350,10,1
008143729,1,1
008143824,30,0.15
008143825,30,0.15
008145790,0.4,1
008320590,2.5,0
008328245,2.4,0.15
008328455,1,1
008328457,0.4,1
008328606,2,0.15
008396075,0.4,1
008562025,1,7
008562026,5,7
008562027,10,7
008562033,10,7
008564531,2,7
008592395,10,7
008790005,100,0.1
008790647,30,0.15
008790715,2,4
009040033,0.5,0
009040425,30,0.15
009040465,5,1.5
009040802,0.4,1
009043440,5,1
009043932,30,0.15
009043936,30,0.15
009043937,30,0.15
009045556,50,0.1
009046119,50,0.1
009046365,50,0.1
009046419,5,1
009046420,7.5,1
009046421,10,1
009046437,5,1.5
009046438,7.5,1.5
009046439,10,1.5
009046444,5,1.5
009046445,15,1.5
009046479,2,0.15
009046567,5,1
009046590,10,1.5
009046591,30,1.5
009046678,1,1.5
009046743,15,1.5
009046824,5,1
009046825,10,1
009046826,7.5,1
009046828,1,1.5
009046966,5,1.5
009047093,5,1.5
009047094,7.5,1.5
009047095,10,1.5
009047632,7.5,1
009485329,,0.15
009485598,30,0.15
009590019,30,0.37
057926722,10,7
061311488,10,7
100190033,50,0
100190034,50,0
100190035,50,0
100190036,50,0
100190037,50,0
100190038,50,0
100190050,50,0
100190156,50,0.1
100190159,25,0.1
100190160,50,0.1
101390075,50,0
101470901,100,0.1
101470902,200,0.1
101470903,300,0.1
103700221,100,0.1
103700222,200,0.1
103700223,300,0.1
105440374,4,4
107020008,15,1.5
107020009,30,1.5
107020018,5,1.5
107020023,5,1.5
107020055,5,1
107020056,10,1.5
107020057,20,1.5
107020070,5,3
107020071,10,3
107020150,1,1
107020184,2.5,1.5
107020185,5,1.5
107020186,7.5,1.5
107020187,10,1.5
107020189,5,1
107020190,7.5,1
107020191,10,1
107020192,5,1
107020193,7.5,1
107020194,10,1
107020340,4.08,1.2
107020341,6.12,1.2
107020342,8.16,1.2
107020343,4.08,1.2
107020344,6.12,1.2
107020345,8.16,1.2
107020801,10,1.5
107020803,20,1.5
107020805,40,1.5
108760732,0.4,1
109140552,10,1
110980050,50,0
110980060,500,0
112894305,0.4,1
113830106,,0.15
116956836,10,7
116956838,10,7
120710108,30,0.15
120710270,0.4,1
122800258,37.5,0.1
126340531,2.5,0
128300717,1.26,0.15
128300735,1.26,0.15
128300739,1.2,0.15
128300754,1.26,0.15
131070004,7.5,1
131070019,5,1
131070020,7.5,1
131070021,10,1
131070044,5,1.5
131070045,7.5,1.5
131070046,10,1.5
131070055,5,1.5
131070056,15,1.5
131070057,30,1.5
131070058,15,0.15
131070059,30,0.15
131070060,60,0.15
131070103,5,3
131070104,10,3
131070107,2,4
131070108,4,4
131070109,8,4
131070211,5,1
131070212,7.5,1
131070213,10,1
136680577,1,1
138110657,2.5,1
138110689,100,0.1
138110690,200,0.1
138110691,300,0.1
138110701,8,4
138110702,12,4
138110703,16,4
138110704,32,4
139130009,100,0.16
139130010,400,0.16
139130013,300,0.16
139850703,10,7
140430701,10,7
150820210,10,0
150820211,2,0
150820213,50,0
150820214,5,0
150820219,2,0
150820221,0.2,4
150820251,5,0
150820255,20,0
150820267,5,0
150820268,2,0
150820270,5,0
150820273,2,0
150820275,5,0
165710301,2,0.15
165710302,2,0.15
165900229,50,0.1
165900946,5,1.5
167140111,50,0.1
167140481,50,0.1
170223356,2,0.15
172360800,0.4,1
174780030,50,0
174780050,50,0
174780067,500,0
174780450,0.67,1
174780540,10,4
174780841,500,0
178560043,5,1
178560065,2,0.15
178560079,2.4,0.15
178560500,2,0.15
178560605,2,0.15
178560640,0.5,1
178560804,2,0.15
178561075,2,0.15
204820001,100,0.18
204820002,200,0.18
204820004,400,0.18
204820006,600,0.18
204820008,800,0.18
204820012,1200,0.18
204820016,1600,0.18
216950132,50,0.1
216950869,1,1
233590040,1.6,0.15
234905691,5,1
234906053,5,1.5
236350115,7.5,1.5
236350408,8,4
236350412,12,4
236350416,16,4
236350432,32,4
236350580,5,1.5
236350581,15,1.5
236350582,30,1.5
240900681,5,1.5
240900682,7.5,1.5
240900683,10,1.5
242000253,10,0
242000254,10,0
242000297,0.1,4
242000432,2,0
242000494,2,0
242000951,50,0
242003001,10,1
242360009,30,0.15
242360609,50,0.1
244860200,2,1
245100050,50,0.4
245100058,50,0.4
245100075,75,0.4
245100100,100,0.4
245100110,9,1.5
245100115,13.5,1.5
245100116,100,0.4
245100120,18,1.5
245100130,27,1.5
245100140,36,1.5
245100174,150,0.4
245100232,200,0.4
245100291,250,0.4
278080035,5,1
278080036,7.5,1
278080037,10,1
278080065,2,0.15
278080086,2,1
278080087,1,1
278080114,5,1
278080115,7.5,1
278080116,10,1
285950250,2,0.15
293000355,50,0.1
299780420,2,0.15
306980337,100,0.1
317220109,10,1.5
317220110,20,1.5
317220111,40,1.5
317220119,8,4
317220120,12,4
317220121,16,4
317220122,32,4
317220190,1,1.5
317220191,2.5,1.5
317220192,5,1.5
317220193,7.5,1.5
317220194,10,1.5
317220198,20,1.5
317220917,15,1.5
317220918,30,1.5
317220929,5,3
317220930,10,3
317220941,5,1
317220942,7.5,1
317220943,10,1
317220948,2.5,1.5
317220949,5,1.5
317220950,7.5,1.5
